,group,batch_group_number,only_female_owns_enterprises,number_enterprises_hh_C,child_under_6,treatment,shock_any,miss_shock_any,Age_C,Married_C,Muslim_C,HH_Size_C,Years_Education_C,Financial_Control_C,homeowner_C,miss_Age_C,miss_Married_C,miss_Muslim_C,miss_HH_Size_C,miss_Years_Education_C,miss_Financial_Control_C,miss_homeowner_C,No_Drain_C,miss_No_Drain_C,all_hh_enterprise_profits,female_entreprise_profits,miss_number_enterprises_hh_C,sec_loanamount1,sec_loanamount2,sec_loanamount3,sec_loanamount4,sec_loanamount5,sec_loanamount6,miss_sec_loanamount1,miss_sec_loanamount2,miss_sec_loanamount3,miss_sec_loanamount4,miss_sec_loanamount5,miss_sec_loanamount6
0,Shampa,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.0,1.0,0.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Shampa,1.0,0.0,2.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,Shampa,1.0,0.0,2.0,0.0,1.0,1.0,0.0,36.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pampa,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,Pampa,1.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,500.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,Pampa,1.0,1.0,2.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,Pampa,1.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,900.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jayanti,1.0,0.0,2.0,0.0,1.0,0.0,0.0,29.0,1.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,280.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,Tumpa,1.0,0.0,2.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jayanti,1.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,750.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,Jayanti,1.0,0.0,3.0,0.0,1.0,0.0,0.0,39.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jayanti,1.0,0.0,2.0,0.0,1.0,0.0,0.0,37.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,Namita,2.0,0.0,3.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.0,625.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,509/4,5.0,1.0,1.0,0.0,0.0,1.0,0.0,40.0,1.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,509/4,5.0,0.0,2.0,0.0,0.0,1.0,0.0,37.0,1.0,0.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8653.846,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,509/3,5.0,1.0,2.0,0.0,0.0,1.0,0.0,42.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,509/3,5.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,509/3,5.0,0.0,3.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,499,1.0,0.0,2.0,1.0,1.0,1.0,0.0,19.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,499,1.0,0.0,3.0,0.0,1.0,1.0,0.0,39.0,1.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.3076,750.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,198/6,5.0,0.0,2.0,0.0,1.0,1.0,0.0,31.0,1.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,300.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,498,1.0,0.0,2.0,0.0,1.0,1.0,0.0,34.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,498,1.0,1.0,2.0,1.0,1.0,1.0,0.0,46.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,498,1.0,1.0,1.0,0.0,1.0,1.0,0.0,36.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,2000.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,498/2,2.0,0.0,2.0,1.0,1.0,1.0,0.0,29.0,1.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.2307,140.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
